id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,1963,23,20,6,23,6,no,no,2
2,1031,16,12,14,13,10,no,yes,1
3,1958,24,28,6,23,8,no,no,1
4,1535,23,20,6,19,6,no,no,1
5,1572,16,12,6,15,10,yes,no,1
6,1124,24,24,10,12,10,yes,no,1
7,800,15,8,6,11,8,yes,no,2
8,1668,21,8,10,19,8,yes,no,2
9,4108,31,7,40,23,22,yes,no,5
10,3692,33,1,28,15,20,yes,no,4
11,620,20,12,14,13,10,yes,no,1
12,985,20,8,10,12,8,no,yes,1
13,3158,39,5,44,23,24,no,no,4
14,1995,22,16,14,15,4,no,no,2
15,2064,17,24,2,15,12,yes,no,1
16,4274,38,3,32,15,22,no,no,4
17,2835,17,20,14,23,26,no,no,5
18,2235,23,8,10,23,30,no,no,5
19,3289,37,7,36,15,28,no,no,4
20,711,23,24,6,12,8,no,yes,1
21,4225,35,7,48,15,22,no,no,5
22,1131,21,16,2,13,8,no,yes,1
23,805,16,24,6,13,4,no,yes,2
24,2276,18,8,6,17,18,yes,no,5
25,2045,21,28,14,17,16,no,no,2
26,2162,23,12,2,17,22,no,no,4
27,3469,32,7,36,15,18,no,no,5
28,2263,19,20,14,21,16,no,no,1
29,3944,33,1,56,21,22,yes,no,4
30,2396,21,16,2,17,18,yes,no,4
31,1484,15,8,10,19,6,yes,no,1
32,4176,38,5,28,23,22,yes,no,5
33,2839,17,28,2,21,26,no,no,4
34,2987,16,28,6,17,12,no,no,1
35,3668,34,5,60,21,14,yes,no,1
36,720,15,16,10,11,8,yes,no,1
37,3281,31,3,56,17,18,no,no,5
38,577,19,12,6,11,4,no,yes,1
39,2711,18,8,10,17,22,no,no,5
40,3025,36,5,28,19,28,no,no,4
41,2150,23,28,10,17,20,no,no,4
42,3306,39,5,60,17,20,no,no,4
43,802,24,24,14,11,8,no,yes,1
44,3922,38,7,20,23,22,no,no,4
45,2168,19,8,10,19,16,yes,no,2
46,1574,23,8,2,21,10,no,no,1
47,1727,22,24,2,15,4,no,no,2
48,2206,18,20,14,23,28,no,no,4
49,1707,22,28,14,23,10,no,no,2
50,3195,31,3,20,21,22,no,no,5
51,3018,39,7,60,15,26,no,no,4
52,2703,18,24,10,15,24,no,no,4
53,4161,39,7,32,15,24,no,no,5
54,2280,21,16,6,21,12,yes,no,2
55,3893,30,5,40,21,16,no,no,1
56,1262,23,12,10,21,8,no,no,2
57,3497,36,3,20,23,18,no,no,5
58,2589,20,28,2,21,22,no,no,4
59,2416,17,28,10,19,16,yes,no,2
60,2725,16,16,14,21,18,no,no,4
61,3788,34,5,44,23,18,yes,no,5
62,3379,38,5,16,23,28,no,no,5
63,1231,21,16,14,21,4,no,no,2
64,3490,36,7,56,21,22,no,no,5
65,1318,24,24,14,21,4,no,no,1
66,3205,37,7,32,15,22,no,no,5
67,1218,16,20,10,17,4,no,no,2
68,2016,21,12,6,19,22,yes,no,5
69,1458,18,28,14,19,10,no,no,1
70,1707,18,20,6,19,6,no,no,1
71,4258,34,7,32,23,14,no,no,1
72,1174,23,20,10,13,6,no,yes,2
73,2787,21,8,6,23,24,no,no,5
74,1705,22,20,6,15,8,no,no,1
75,2734,15,20,10,19,14,no,no,1
76,2180,16,20,14,17,18,yes,no,4
77,3781,37,5,36,15,28,no,no,5
78,2732,23,12,6,21,16,yes,no,1
79,2971,16,16,10,19,20,no,no,4
80,3592,38,5,36,23,18,yes,no,4
81,2599,19,24,14,15,16,no,no,1
82,867,23,28,10,13,10,no,yes,2
83,1245,18,20,14,21,4,no,no,2
84,632,18,8,6,11,10,yes,no,2
85,2756,21,8,10,21,24,yes,no,4
86,1474,22,28,2,15,6,no,no,1
87,1956,21,12,10,23,6,yes,no,1
88,839,22,24,2,11,10,no,yes,1
89,548,24,20,10,13,8,yes,no,1
90,3654,31,3,24,19,24,no,no,4
91,4248,31,5,20,17,20,yes,no,5
92,3374,35,1,24,23,30,no,no,5
93,1199,22,12,10,13,4,no,yes,2
94,4164,38,5,24,23,26,yes,no,5
95,3750,36,3,48,23,14,no,no,2
96,2530,21,16,10,19,28,no,no,4
97,1850,22,8,2,19,8,no,no,1
98,3269,36,1,52,17,24,no,no,5
99,2671,20,8,14,19,28,no,no,5
100,2044,20,24,2,17,30,yes,no,4
101,2862,17,12,2,21,18,no,no,4
102,796,20,20,10,11,10,yes,no,2
103,1849,15,20,14,19,4,no,no,2
104,3314,32,1,56,15,14,no,no,2
105,4173,38,3,20,17,24,no,no,5
106,2834,23,12,6,21,18,no,no,4
107,2421,17,8,10,15,14,no,no,2
108,2000,16,28,14,21,30,yes,no,1
109,4330,31,7,44,15,24,no,no,5
110,559,17,8,14,11,10,no,yes,1
111,1678,23,12,14,19,4,no,no,1
112,3859,39,5,44,15,12,no,no,2
113,3897,35,5,56,23,18,no,no,4
114,590,17,20,14,13,10,no,yes,2
115,4207,38,1,28,19,24,no,no,5
116,2124,18,16,10,19,12,yes,no,1
117,2083,20,24,2,19,16,no,no,2
118,3652,31,3,32,19,12,yes,no,2
119,1246,20,20,10,17,10,no,no,2
